,nstiff,mode,rho0,gamma,eig_CF,eig_FEA
0,1,global,10.000000000001602,3.000000000016804,6.000816326538873,6.040326876103908
0,1,global,9.232666380908785,3.0000000000051936,6.038967817395328,6.057497772791305
0,1,global,8.524212850115699,3.0000000000008704,6.000167638383898,6.079682051806861
0,1,global,7.870121340487805,2.999999999681057,6.0453976475931075,6.106493794045768
0,1,global,7.266220471407218,2.9999999999636593,6.005930971429283,6.129650247219161
0,1,global,6.708658946263315,2.999999998574681,6.0221649821816445,6.192298961147611
0,1,global,6.1938809914075765,3.0000000007160446,6.065983708735645,6.204028358048391
0,1,global,5.718603679678215,2.999999999999979,6.000942982654905,6.263909796000129
0,1,global,5.279795993913265,2.9999999999246127,6.038126881753813,6.365455845406554
0,1,global,4.874659497103151,3.000000000000755,6.155260663040964,6.381789622964478
0,1,global,4.500610485728579,2.9999999999839435,6.0279060439553795,6.450465413114901
0,1,global,4.155263512514567,2.9999999999987694,6.003464959609765,6.591003210651596
0,1,global,3.836416173581583,2.9999999999782356,6.081312937017708,6.77750993397057
0,1,global,3.542035062901338,2.9999999999431792,6.263439002351717,6.800973624814247
0,1,global,3.2702428045261684,2.999999999910308,6.1697198029331535,6.8817717899795525
0,1,global,3.0193060798601445,3.000000000312816,6.034167792883201,7.047662106019928
0,1,global,2.7876245737225585,3.0000000002154557,6.001689305887837,7.310584949180155
0,1,global,2.5737207684482724,2.9999999999999987,6.071454512383604,7.679190985997594
0,1,global,2.3762305212698154,3.0000000000000013,6.245245922872993,8.156241789607932
0,1,global,2.1938943647009452,3.0000000000171245,6.527503930894564,8.262138000601297
0,1,global,2.0255494744244644,3.000000000001365,6.925440266019381,8.358364988331733
0,1,global,1.8701222535385997,2.999999999999949,6.641077979115915,8.549348373696258
0,1,global,1.7266214858434177,3.000000000000861,6.322953544629156,8.853974733252675
0,1,global,1.594132014490061,3.000000000000962,6.115281147721996,9.286629144811647
0,1,global,1.4718089056912282,3.0000000000006812,6.01275473105407,9.854780014234867
0,1,global,1.3588720602697102,3.0000000000003886,6.012754731053983,10.56204031099839
0,1,global,1.2546012386807979,3.0000000000001865,6.115281147721788,11.409087785030144
0,1,global,1.1583314677814305,3.0000000000000657,6.322953544628981,12.386898629796955
0,1,global,1.0694488000533933,3.0000000000000067,6.641077979115929,13.480656950638377
0,1,global,0.9873863981891502,3.0000000014561947,7.077782574549891,14.658685777530454
0,1,global,0.9116209203322502,3.0000000020396436,7.644225188980128,15.868746531661976
0,1,global,0.8416691823406643,3.000000001521329,8.354878505484324,17.01589671643947
0,1,global,0.7770850763796232,3.000000000917573,9.227899811860738,18.00800633619145
0,1,local,0.7174567259893737,3.000000000526408,10.285594919096503,18.744795829679827
0,1,local,0.6624038593853044,3.0000000003044542,11.554988077823063,19.2150260960074
0,1,local,0.611575384316021,3.0000000001807963,13.068512451902471,19.4431395782333
0,1,local,0.5646471490181986,3.000000000110746,14.864838790192993,19.514866969456747
0,1,local,0.5213198749825378,3.0000000000699742,16.989863469337475,19.514230520314772
0,1,local,0.4813172483456087,3.000000000045536,19.497881152282787,19.522008425697912
0,1,local,0.4443841577355126,3.000000000030458,22.452972024129345,19.60560736119472
0,1,local,0.41028506733350045,3.000000000020898,25.93063904937371,19.823243279902744
0,1,local,0.3788025147760052,3.0000000000146785,30.01973708268388,20.2266955133331
0,1,local,0.34973572431768324,3.0000000000105347,34.82474312224381,20.845838732855576
0,1,local,0.3228993264111093,3.000000000007708,40.46842571094115,21.720527495001264
0,1,local,0.29812217553742054,3.0000000000057425,47.094981688953666,22.889676734794126
0,1,local,0.2752462587487887,3.0000000000043476,54.873720442178744,24.392272145187263
0,1,local,0.2541256879620947,3.0000000000033378,64.00338977954439,26.265417306357236
0,1,local,0.2346257695772989,3.000000000002598,74.71725396594022,28.580490996150402
