,rho0,gamma,eig_CF,eig_FEA
0,0.2,10.0,193.96509404901468,
0,0.2197082283975117,10.0,160.7277733697888,
0,0.24135852812786573,10.0,133.1859077998946,
0,0.26514227311802185,10.0,110.3635399444665,
0,0.2912696955002488,10.0,91.45194976163505,
0,0.3199717439212117,10.0,75.78099723344208,
0,0.3515021249709584,10.0,62.79537567720623,
0,0.38613954577665005,10.0,52.03493422360537,
0,0.4241901775840382,10.0,43.118372180353084,
0,0.46599036210307443,10.0,35.7297274845017,
0,0.5119095845399072,10.0,29.607180456093385,
0,0.5623537395948461,10.0,24.533776109539954,
0,0.6177687192954963,10.0,20.329736263998953,
0,0.6786443543790657,10.0,16.84608902919835,
0,0.7455187440629881,10.0,13.959389924905667,
0,0.818983012476085,10.0,11.567347574727531,
0,0.8996865337938892,10.0,9.585198968890168,
0,0.988342672264767,10.0,7.942705851939152,
0,1.085735087864772,10.0,7.758603761351867,18.297753854441506
0,1.1927246633189288,10.0,7.758603761351865,16.612019554572655
0,1.3102571137191017,10.0,7.758603761351865,15.115289049885101
0,1.439371346002304,10.0,7.758603761351864,13.79733363130544
0,1.5812086421815397,10.0,7.758603761351861,12.650399472704033
0,1.7370227475027051,10.0,7.758603761351859,11.658828090411577
0,1.908190952699988,10.0,7.758603761351856,10.845377572104717
0,2.0962262683093718,10.0,7.758603761351856,10.190507419935702
0,2.302790798652894,10.0,7.758603761351851,9.69087006554264
0,2.529710433710592,10.0,7.75860376135185,9.321893374228333
0,2.7789909887462754,10.0,7.758603761351848,9.104655721779428
0,3.052835934350467,10.0,7.758603761351845,8.984673507246926
0,3.3536658736220155,10.0,7.758603761351845,8.961227207859933
0,3.6841399386534315,10.0,7.758603761351845,8.584116281246816
0,4.047179295450314,10.0,7.758603761351848,8.280339555203946
0,4.4459929650523895,10.0,7.758603761351853,8.067931563626107
0,4.884106189097302,10.0,7.758603761351858,7.988776205068071
0,5.36539159055945,10.0,7.758603761351866,7.9564657361253595
0,5.89410340510362,10.0,7.758603761351879,7.856741808814047
0,6.4749150856352875,10.0,7.758603761351897,7.73045593876417
0,7.112960612446258,10.0,7.758603761351918,7.743695217726112
0,7.813879874109231,10.0,7.758603761351941,7.695601977145373
0,8.583868520257553,10.0,7.758603761351968,7.621663202230478
0,9.429732726914786,10.0,7.758603761351996,7.696643407812413
0,10.358949358462421,10.0,7.758603761352014,7.644214027446462
0,11.379732058036593,10.0,7.758603761352019,7.629798935830842
0,12.50110385054794,10.0,7.75860376135199,7.751196350028087
0,13.732976900085998,10.0,7.758603761351895,7.742615209421975
0,15.086240126709232,10.0,7.758603761351695,7.728038106019421
0,16.572855457093688,10.0,7.75860376135132,7.71773226746682
0,18.205963559830437,10.0,7.758603761350685,8.00708202880453
0,20.0,10.0,7.758603761349708,8.00729583102369
0,0.2,5.0,175.8523534237515,
0,0.2197082283975117,5.0,145.7187817540776,
0,0.24135852812786573,5.0,120.74881536970378,
0,0.26514227311802185,5.0,100.05763318686785,
0,0.2912696955002488,5.0,82.91203460924135,
0,0.3199717439212117,5.0,68.70445826162351,
0,0.3515021249709584,5.0,56.93145280138887,
0,0.38613954577665005,5.0,47.175836911986735,
0,0.4241901775840382,5.0,39.091916310487285,
0,0.46599036210307443,5.0,32.393233927723706,
0,0.5119095845399072,5.0,26.842419183597652,
0,0.5623537395948461,5.0,22.24277666242238,
0,0.6177687192954963,5.0,18.431316129535404,
0,0.6786443543790657,5.0,15.27297690493775,
0,0.7455187440629881,5.0,12.655841932251429,25.672347395266744
0,0.818983012476085,5.0,10.48717195154969,22.78698144748167
0,0.8996865337938892,5.0,8.690119245334287,20.159685325361565
0,0.988342672264767,5.0,7.201004507889949,17.854954299338047
0,1.085735087864772,5.0,7.034094137022423,15.854321794468486
0,1.1927246633189288,5.0,7.034094137020833,14.148658169883552
0,1.3102571137191017,5.0,7.034094137018935,12.701475963752763
0,1.439371346002304,5.0,7.034094137016674,11.507846620805621
0,1.5812086421815397,5.0,7.034094137013991,10.532259766842923
0,1.7370227475027051,5.0,7.034094137010807,9.751758395335688
0,1.908190952699988,5.0,7.034094137007045,9.149299502408672
0,2.0962262683093718,5.0,7.034094137002615,8.698091415986662
0,2.302790798652894,5.0,7.034094136997412,8.398716078951944
0,2.529710433710592,5.0,7.03409413699132,8.22339884370874
0,2.7789909887462754,5.0,7.034094136984211,8.146184626899212
0,3.052835934350467,5.0,7.03409413697594,8.040766863857247
0,3.3536658736220155,5.0,7.034094136966337,7.6824114649002615
0,3.6841399386534315,5.0,7.0340941369552,7.423619568056898
0,4.047179295450314,5.0,7.034094136942288,7.287410415846847
0,4.4459929650523895,5.0,7.034094136927299,7.215756471657999
0,4.884106189097302,5.0,7.034094136909854,7.2128278693156815
0,5.36539159055945,5.0,7.0340941368894665,7.053928015898824
0,5.89410340510362,5.0,7.0340941368655185,7.006962710387991
0,6.4749150856352875,5.0,7.0340941368372425,6.984142860856768
0,7.112960612446258,5.0,7.034094136803694,6.914908546796708
0,7.813879874109231,5.0,7.034094137030361,6.922931968075588
0,8.583868520257553,5.0,7.034094137030361,6.904168810920637
0,9.429732726914786,5.0,7.034094137030359,6.864295373362462
0,10.358949358462421,5.0,7.034094137030359,6.933168127968697
0,11.379732058036593,5.0,7.034094137030358,6.911220556904697
0,12.50110385054794,5.0,7.034094137030356,6.8993787416061085
0,13.732976900085998,5.0,7.034094137030354,7.032034969843547
0,15.086240126709232,5.0,7.034094137030356,7.0240450021071466
0,16.572855457093688,5.0,7.034094137030361,7.0211186728302035
0,18.205963559830437,5.0,7.034094137030359,7.021360289217099
0,20.0,5.0,7.034094137030356,7.285167819539312
0,0.2,2.0,159.15177437430864,
0,0.2197082283975117,2.0,131.87996760643375,
0,0.24135852812786573,2.0,109.28138203803205,
0,0.26514227311802185,2.0,90.55522744736473,
0,0.2912696955002488,2.0,75.03793476840242,
0,0.3199717439212117,2.0,62.17964233574939,
0,0.3515021249709584,2.0,51.52471124019189,
0,0.38613954577665005,2.0,42.695579600438386,
0,0.4241901775840382,2.0,35.37938346224415,
0,0.46599036210307443,2.0,29.31687041404528,
0,0.5119095845399072,2.0,24.293212791321082,
0,0.5623537395948461,2.0,20.130395208962018,
0,0.6177687192954963,2.0,16.680906504628446,29.092836153551445
0,0.6786443543790657,2.0,13.822512616154128,25.354115652072245
0,0.7455187440629881,2.0,11.45392518500693,21.94269896410621
0,0.818983012476085,2.0,9.491212325374939,18.967473757624578
0,0.8996865337938892,2.0,7.864824499049322,16.45707568855754
0,0.988342672264767,2.0,6.517129980887384,14.374416414144694
0,1.085735087864772,2.0,6.366070975187573,12.667575427875251
0,1.1927246633189288,2.0,6.366070974982421,11.283959237638813
0,1.3102571137191017,2.0,6.366070974982586,10.174209801756788
0,1.439371346002304,2.0,6.366070974982149,9.301861067671675
0,1.5812086421815397,2.0,6.36607097497922,8.629038010653872
0,1.7370227475027051,2.0,6.366070974979821,8.130071572131929
0,1.908190952699988,2.0,6.366070974981494,7.777652809903932
0,2.0962262683093718,2.0,6.366070974982335,7.5422827400204975
0,2.302790798652894,2.0,6.366070974982148,7.413460040077668
0,2.529710433710592,2.0,6.366070974982302,7.353403364442062
0,2.7789909887462754,2.0,6.3660709749822315,7.105677557961481
0,3.052835934350467,2.0,6.366070974981835,6.834737999092292
0,3.3536658736220155,2.0,6.366070974981297,6.65104766941417
0,3.6841399386534315,2.0,6.366070974980529,6.564577409700168
0,4.047179295450314,2.0,6.366070974979606,6.542052501707615
0,4.4459929650523895,2.0,6.366070974979247,6.450823654229745
0,4.884106189097302,2.0,6.3660709749806745,6.369412695962242
0,5.36539159055945,2.0,6.366070974980891,6.323908993623034
0,5.89410340510362,2.0,6.36607097496584,6.295887910755393
0,6.4749150856352875,2.0,6.366070974964138,6.2650367812594885
0,7.112960612446258,2.0,6.366070974982897,6.246902054228519
0,7.813879874109231,2.0,6.36607097498212,6.2582574555022505
0,8.583868520257553,2.0,6.366070975009521,6.242231800511962
0,9.429732726914786,2.0,6.366070974982188,6.221863268599518
0,10.358949358462421,2.0,6.366070975002662,6.288238362413687
0,11.379732058036593,2.0,6.366070974982797,6.273174436842212
0,12.50110385054794,2.0,6.366070974334465,6.267398897661375
0,13.732976900085998,2.0,6.366070974982192,6.385135127984568
0,15.086240126709232,2.0,6.366070975471124,6.386078523519057
0,16.572855457093688,2.0,6.366070974978099,6.386576889907543
0,18.205963559830437,2.0,6.366070974982237,6.390293209123603
0,20.0,2.0,6.366070974981563,6.626477750410141
0,0.2,0.0,141.42135623730945,133.9011769585016
0,0.2197082283975117,0.0,117.18778477335421,112.65593940993035
0,0.24135852812786573,0.0,97.10681091929023,94.23463414824165
0,0.26514227311802185,0.0,80.46685706323619,79.04961673961122
0,0.2912696955002488,0.0,66.67827955978159,66.79881652304375
0,0.3199717439212117,0.0,55.25247446359723,56.14574394934558
0,0.3515021249709584,0.0,45.78456364659786,47.1122875893665
0,0.38613954577665005,0.0,37.939047774058636,39.78184192962633
0,0.4241901775840382,0.0,31.437917746962288,33.85407805697757
0,0.46599036210307443,0.0,26.050803334620326,29.105346712265654
0,0.5119095845399072,0.0,21.586809910291848,25.001141329242543
0,0.5623537395948461,0.0,17.887754021151213,21.133971492668472
