,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
0,0.999957,7.576108,-4.641548,0.105171,1,metal,4.376632,1.414583,19.337550
1,0.999957,6.137821,-4.641548,0.105164,1,metal,4.374378,1.411590,19.351855
2,0.999957,4.972623,-4.641548,0.105170,1,metal,4.392464,1.412538,19.686351
3,0.999957,4.028615,-4.641548,0.105163,1,metal,4.415822,1.411911,20.164237
4,0.999957,3.263812,-4.641548,0.105169,1,metal,4.451924,1.415186,20.837162
5,0.999957,2.644207,-4.641548,0.105169,1,metal,4.657951,1.434936,25.103695
6,0.999957,2.141807,-4.641548,0.105169,1,metal,4.648170,1.413525,25.397361
7,0.999957,1.735531,-4.641548,0.105169,1,metal,4.989802,1.439974,34.807323
8,0.999957,1.406051,-4.641548,0.105163,1,metal,5.288711,1.512026,43.671054
9,0.999957,1.139126,-4.641548,0.105163,1,metal,5.290628,1.422919,47.832668
10,0.999957,0.922874,-4.641548,0.105170,1,metal,5.709076,1.422921,72.686480
11,0.999957,0.747674,-4.641548,0.105169,1,metal,6.583800,1.512028,159.456610
12,0.999957,0.605734,-4.641548,0.105170,1,metal,7.991135,1.682483,549.304008
13,0.999957,0.490769,-4.641548,0.105164,1,metal,10.041432,1.921221,3361.730953
14,0.999957,0.397575,-4.641548,0.105168,1,metal,12.908689,2.213732,44132.711406
15,0.999834,0.260951,-4.641548,0.105178,3,metal,29.191311,2.906772,260153834687.825073
16,0.999834,0.211412,-4.641548,0.105179,3,metal,40.397453,3.287338,13083322210009524.000000
17,0.999834,0.171277,-4.641548,0.105179,3,metal,56.277733,3.681407,69549556810088584314880.000000
18,0.999779,0.138762,-4.641548,0.105174,5,metal,83.177319,4.084567,22363803319702364815972633329795072.000000
19,0.999431,8.211661,-4.418922,0.525349,1,metal,4.849165,1.500389,28.467879
20,0.999431,6.652708,-4.418922,0.525377,1,metal,4.840476,1.497167,28.312648
21,0.999431,5.389761,-4.418922,0.525377,1,metal,4.853627,1.498189,28.658141
22,0.999431,4.366565,-4.418922,0.525353,1,metal,4.915764,1.497510,30.516077
23,0.999431,3.537619,-4.418922,0.525377,1,metal,4.967957,1.501043,32.037706
24,0.999431,2.866045,-4.418922,0.525377,1,metal,5.161918,1.522321,38.076478
25,0.999431,2.321949,-4.418922,0.525352,1,metal,5.325693,1.499268,45.898176
26,0.999431,1.881118,-4.418922,0.525351,1,metal,5.932362,1.527741,81.828162
27,0.999431,1.523999,-4.418922,0.525377,1,metal,6.154792,1.605068,94.606295
28,0.999431,1.234688,-4.418922,0.525353,1,metal,6.563305,1.509376,156.636682
29,0.999431,1.000292,-4.418922,0.525349,1,metal,7.533651,1.509376,413.342043
30,0.999431,0.810395,-4.418922,0.525353,1,metal,9.103711,1.605071,1805.584438
31,0.999431,0.656552,-4.418922,0.525377,1,metal,11.201929,1.786510,12276.219385
32,0.999431,0.531910,-4.418922,0.525351,1,metal,13.611861,2.037720,106312.797321
33,0.997749,0.430830,-4.418922,0.525193,3,metal,25.301548,2.341623,9362002052.129738
34,0.997749,0.349104,-4.418922,0.525197,3,metal,34.798110,2.683208,88577744771484.562500
35,0.997748,0.282842,-4.418922,0.525341,3,metal,47.323811,3.051277,16877852778933266432.000000
36,0.997337,0.229147,-4.418922,0.525327,4,metal,67.417061,3.437094,6111480310097402417811292160.000000
37,0.996971,0.185647,-4.418922,0.525270,5,metal,94.892344,3.834804,3513881573249078695491202398438012485632.000000
38,0.996639,0.150402,-4.418922,0.525344,6,metal,132.056036,4.240565,32326143535544142079387897671064106133855000957506551808.000000
39,0.995259,8.900483,-2.621363,1.105271,1,metal,4.728385,1.591156,23.039925
40,0.995259,7.210559,-2.621363,1.105279,1,metal,4.745092,1.587696,23.509287
41,0.995259,5.841897,-2.621363,1.105273,1,metal,4.797292,1.588792,24.741944
42,0.995259,4.732872,-2.621363,1.105272,1,metal,4.870362,1.588068,26.636808
43,0.995259,3.834381,-2.621363,1.105273,1,metal,4.977762,1.591855,29.544783
44,0.995259,3.106545,-2.621363,1.105280,1,metal,5.217328,1.614656,36.696168
45,0.995259,2.516957,-2.621363,1.105281,1,metal,5.339818,1.589964,42.514869
46,0.995259,2.038928,-2.621363,1.105272,1,metal,5.767946,1.620472,63.273980
47,0.995259,1.651857,-2.621363,1.105272,1,metal,6.324426,1.703056,101.633218
48,0.995259,1.338264,-2.621363,1.105272,1,metal,6.547004,1.600795,140.640716
49,0.995259,1.084206,-2.621363,1.105272,1,metal,7.170567,1.600796,262.374041
50,0.989703,0.878378,-2.621363,1.105272,1,metal,8.664805,1.701030,1057.618437
51,0.984972,0.711641,-2.621363,1.105306,2,metal,10.807159,1.892132,7442.979978
52,0.984972,0.576530,-2.621363,1.105273,2,metal,13.354697,2.155956,73038.406434
53,0.984989,0.459519,-2.621363,1.104507,2,metal,16.723389,2.497138,1507934.469233
54,0.984972,0.378402,-2.621363,1.105278,3,metal,20.245202,2.822332,36868563.864449
55,0.984972,0.306570,-2.621363,1.105272,3,metal,24.731079,3.197203,2249279313.608599
56,0.995498,9.646175,-4.236346,1.905677,1,metal,5.888678,1.690114,66.590670
57,0.995498,7.815728,-4.236346,1.905678,1,metal,5.878121,1.686444,66.133619
58,0.995498,6.331981,-4.236346,1.905678,1,metal,5.901262,1.687611,67.602921
59,0.995498,5.129908,-4.236346,1.905678,1,metal,6.008234,1.686841,75.293475
60,0.995498,4.156036,-4.236346,1.905678,1,metal,6.095346,1.690870,81.816255
61,0.995498,3.367058,-4.236346,1.905678,1,metal,6.338449,1.715123,101.832145
62,0.995498,2.727843,-4.236346,1.905678,1,metal,6.662016,1.688847,144.484076
63,0.995498,2.210274,-4.236346,1.905680,1,metal,7.605960,1.721237,359.503223
64,0.995498,1.790286,-4.236346,1.905678,1,metal,7.808106,1.808730,403.177072
65,0.990167,1.450529,-4.236346,1.905678,1,metal,8.822039,1.698432,1240.917902
