,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
0,0.999920,7.388991,-3.418658,0.105180,1,metal,5.592165,5.705351,0.980161
1,0.999920,5.986281,-3.418658,0.105181,1,metal,5.612660,5.705351,0.983754
2,0.999920,4.849845,-3.418658,0.105180,1,metal,5.668951,5.705351,0.993620
3,0.999920,3.929150,-3.418658,0.105180,1,metal,5.741052,5.705351,1.006257
4,0.999920,3.183244,-3.418658,0.105180,1,metal,5.895325,5.705351,1.033298
5,0.999920,2.578913,-3.418658,0.105172,1,metal,6.098721,5.705348,1.068948
6,0.999920,2.089278,-3.418658,0.105173,1,metal,6.584305,5.705348,1.154058
7,0.999920,1.692679,-3.418658,0.105172,1,metal,6.868108,5.705348,1.203802
8,0.999920,1.371335,-3.418658,0.105180,1,metal,7.511939,5.705351,1.316648
9,0.999920,1.111003,-3.418658,0.105173,1,metal,8.781289,5.705348,1.539133
10,0.999920,0.900088,-3.418658,0.105173,1,metal,11.059816,7.042264,1.570492
11,0.999920,0.729216,-3.418658,0.105180,1,metal,14.921100,10.729257,1.390693
12,0.999920,0.590779,-3.418658,0.105172,1,metal,21.219972,16.346749,1.298116
13,0.999920,0.478634,-3.418658,0.105173,1,metal,30.858775,24.904323,1.239093
14,0.999920,0.387760,-3.418658,0.105172,1,metal,43.869891,37.945085,1.156142
15,0.999920,0.314145,-3.418658,0.105180,1,metal,61.608178,57.812570,1.065654
16,0.999756,0.254508,-3.418658,0.105177,3,metal,90.708439,88.075465,1.029895
17,0.999756,0.206192,-3.418658,0.105177,3,metal,134.484578,134.188513,1.002206
18,0.999756,0.167048,-3.418658,0.105177,3,metal,193.711476,204.444611,0.947501
19,0.998290,7.388993,-2.354828,0.525349,1,metal,5.581092,5.880634,0.949063
20,0.998290,5.986297,-2.354828,0.525348,1,metal,5.588775,5.880633,0.950370
21,0.998290,4.849847,-2.354828,0.525348,1,metal,5.646233,5.880634,0.960140
22,0.998290,3.929144,-2.354828,0.525348,1,metal,5.726201,5.880633,0.973739
23,0.998290,3.183243,-2.354828,0.525349,1,metal,5.846418,5.880634,0.994182
24,0.998290,2.578922,-2.354828,0.525348,1,metal,6.092388,5.880634,1.036009
25,0.998290,2.089073,-2.354828,0.525349,1,metal,6.521529,5.880634,1.108984
26,0.998290,1.692587,-2.354828,0.525356,1,metal,6.818262,5.880637,1.159443
27,0.998290,1.371341,-2.354828,0.525347,1,metal,7.510998,5.880633,1.277243
28,0.998290,1.111003,-2.354828,0.525348,1,metal,8.860371,5.880634,1.506703
29,0.998290,0.900088,-2.354828,0.525348,1,metal,11.198911,7.258625,1.542842
30,0.998290,0.729213,-2.354828,0.525347,1,metal,14.995736,11.058984,1.355978
31,0.998290,0.590811,-2.354828,0.525357,1,metal,20.818096,16.847164,1.235703
32,0.998290,0.478677,-2.354828,0.525350,1,metal,54.139085,25.664826,2.109466
33,0.998290,0.387759,-2.354828,0.525348,1,metal,37.870246,39.111162,0.968272
34,0.998290,0.314145,-2.354828,0.525349,1,metal,49.161064,59.588675,0.825007
35,0.995494,7.389054,-2.715627,1.105272,1,metal,5.857572,6.089511,0.961912
36,0.995494,5.986297,-2.715627,1.105272,1,metal,5.872452,6.089511,0.964355
37,0.995494,4.849847,-2.715627,1.105272,1,metal,5.934337,6.089511,0.974518
38,0.995494,3.929142,-2.715627,1.105272,1,metal,6.092023,6.089511,1.000413
39,0.995494,3.183315,-2.715627,1.105289,1,metal,6.189403,6.089517,1.016403
40,0.995494,2.578922,-2.715627,1.105272,1,metal,6.583620,6.089511,1.081141
41,0.995494,2.089277,-2.715627,1.105272,1,metal,6.930603,6.089511,1.138121
42,0.995494,1.692665,-2.715627,1.105275,1,metal,7.360947,6.089512,1.208791
43,0.995494,1.371311,-2.715627,1.105288,1,metal,8.347957,6.089516,1.370874
44,0.995494,1.111002,-2.715627,1.105275,1,metal,10.178122,6.089512,1.671418
45,0.995494,0.900088,-2.715627,1.105272,1,metal,13.247465,7.516449,1.762463
46,0.985724,0.729214,-2.715627,1.105273,2,metal,20.982835,11.421127,1.837195
47,0.981856,0.590810,-2.715627,1.105345,3,metal,28.677940,17.380514,1.650005
48,0.981857,0.478664,-2.715627,1.105291,3,metal,37.699290,26.478608,1.423764
49,0.985723,0.387727,-2.715627,1.105318,3,metal,47.899294,40.398810,1.185661
50,0.996365,7.388993,-4.616559,1.905687,1,metal,6.511755,6.342908,1.026620
51,0.996365,5.986201,-4.616559,1.905723,1,metal,6.545463,6.342919,1.031932
52,0.996365,4.849847,-4.616559,1.905678,1,metal,6.591021,6.342906,1.039117
53,0.996365,3.929181,-4.616559,1.905723,1,metal,6.723371,6.342919,1.059981
54,0.996365,3.183315,-4.616559,1.905724,1,metal,6.965032,6.342919,1.098080
55,0.996365,2.578923,-4.616559,1.905679,1,metal,7.517468,6.342906,1.185177
56,0.996365,2.089278,-4.616559,1.905679,1,metal,7.732294,6.342906,1.219046
57,0.996365,1.692586,-4.616559,1.905722,1,metal,8.493762,6.342919,1.339094
58,0.996365,1.371311,-4.616559,1.905723,1,metal,10.080621,6.342919,1.589272
59,0.997454,1.111003,-4.616559,0.908121,1,metal,13.192587,6.023673,2.190123
60,0.997455,0.900089,-4.616559,0.908108,1,metal,18.444815,7.435162,2.480755
61,0.984744,0.729213,-4.616559,1.737891,4,metal,34.904236,11.800621,2.957830
62,0.979830,0.590784,-4.616559,1.905301,5,metal,49.909698,18.098775,2.757629
63,0.979830,0.478664,-4.616559,1.905302,5,metal,70.389944,27.570584,2.553081
64,0.979830,0.387753,-4.616559,1.905298,5,metal,99.636080,42.014263,2.371482
65,0.977487,0.314145,-4.616559,1.905585,6,metal,141.398620,63.973632,2.210264
66,0.977494,0.254506,-4.616559,1.905208,6,metal,188.484589,97.467298,1.933824
67,0.977486,0.206192,-4.616559,1.905660,6,metal,248.833864,148.497211,1.675680
68,0.977487,0.167049,-4.616559,1.905586,6,metal,351.502512,226.243070,1.553650
69,0.973288,0.135335,-4.616559,1.905676,8,metal,524.510042,344.340127,1.523232
70,0.991423,7.389043,-4.335950,3.010392,1,metal,6.683718,6.628590,1.008317
71,0.991423,5.986200,-4.335950,3.010388,1,metal,6.733146,6.628589,1.015774
72,0.991423,4.849845,-4.335950,3.010391,1,metal,6.856010,6.628590,1.034309
73,0.991423,3.929143,-4.335950,3.010392,1,metal,6.973900,6.628590,1.052094
74,0.991423,3.183243,-4.335950,3.010391,1,metal,7.351939,6.628590,1.109126
75,0.991423,2.578916,-4.335950,3.010392,1,metal,7.819338,6.628590,1.179638
76,0.981087,2.088918,-4.335950,3.010378,1,metal,8.887352,6.613532,1.343813
77,0.972037,1.692580,-4.335950,3.010403,2,metal,11.036743,6.600346,1.672146
78,0.972037,1.371310,-4.335950,3.010408,2,metal,14.673417,6.600347,2.223128
79,0.972037,1.111001,-4.335950,3.010396,2,metal,20.629567,6.600344,3.125529
80,0.954134,0.453378,-4.335950,2.865887,5,metal,87.469838,31.808029,2.749930
81,0.947687,0.451774,-4.335950,2.893157,6,metal,90.940277,32.021392,2.839985
82,0.946195,0.451471,-4.335950,2.942123,6,metal,91.715657,32.113957,2.855944
83,0.944568,0.451084,-4.335950,2.994785,6,metal,92.561611,32.221703,2.872648
84,0.944081,0.387759,-4.335950,3.010393,6,metal,116.743204,43.626469,2.675972
85,0.950234,0.314097,-4.335950,3.010593,6,metal,141.014645,66.580122,2.117969
86,0.987733,0.254508,-4.335950,1.106913,9,metal,164.799541,93.819783,1.756554
87,0.932765,0.206192,-4.335950,3.010392,9,metal,298.054724,153.897744,1.936706
88,0.984631,0.167048,-4.335950,1.216709,9,metal,334.704196,218.930392,1.528816
89,0.932765,0.135336,-4.335950,3.010410,9,metal,534.082454,357.230002,1.495066
90,0.922380,7.388675,-1.712123,4.535117,1,metal,7.511836,6.872126,1.093088
91,0.922380,5.986277,-1.712123,4.535113,1,metal,7.931397,6.872126,1.154140
92,0.922380,4.849843,-1.712123,4.535115,1,metal,8.006212,6.872126,1.165027
93,0.930571,2.078244,-1.712123,4.257696,1,metal,9.417544,6.825404,1.379778
94,0.385006,3.183224,-1.712123,4.535119,2,metal,6.724551,6.137217,1.095700
95,0.777755,2.578918,-1.712123,4.535117,2,metal,8.370731,6.675522,1.253944
96,0.385005,2.089328,-1.712123,4.535109,2,metal,5.927332,6.137212,0.965802
97,0.777764,1.692639,-1.712123,4.535048,2,metal,11.246612,6.675520,1.684754
98,0.777757,1.371331,-1.712123,4.535101,2,metal,13.236733,6.675522,1.982876
99,0.600641,1.110973,-1.712123,3.413268,3,metal,8.833386,6.160204,1.433944
100,0.600627,0.900080,-1.712123,3.413268,3,metal,10.414601,7.603818,1.369654
101,0.598111,0.729213,-1.712123,4.001869,3,metal,12.044180,11.856842,1.015800
102,0.967083,7.388716,-4.144278,6.639343,1,metal,7.359492,7.318024,1.005667
