,rho_0,xi,gamma,log10(zeta),eig_FEA
0,7.388991,0.999920,0.105180,-3.418658,5.592165
1,5.986281,0.999920,0.105181,-3.418658,5.612660
2,4.849845,0.999920,0.105180,-3.418658,5.668951
3,3.929150,0.999920,0.105180,-3.418658,5.741052
4,3.183244,0.999920,0.105180,-3.418658,5.895325
5,2.578913,0.999920,0.105172,-3.418658,6.098721
6,2.089278,0.999920,0.105173,-3.418658,6.584305
7,1.692679,0.999920,0.105172,-3.418658,6.868108
8,1.371335,0.999920,0.105180,-3.418658,7.511939
9,1.111003,0.999920,0.105173,-3.418658,8.781289
10,0.900088,0.999920,0.105173,-3.418658,11.088179
11,0.729216,0.999920,0.105180,-3.418658,15.081756
12,0.590779,0.999920,0.105172,-3.418658,21.591217
13,0.478634,0.999920,0.105173,-3.418658,31.491005
14,0.387760,0.999920,0.105172,-3.418658,44.991360
15,0.314145,0.999920,0.105180,-3.418658,63.653672
16,0.254508,0.999756,0.105177,-3.418658,93.264698
17,0.206192,0.999756,0.105177,-3.418658,136.845569
18,0.167048,0.999756,0.105177,-3.418658,196.333009
19,7.388993,0.998290,0.525349,-2.354828,5.581092
20,5.986297,0.998290,0.525348,-2.354828,5.588775
21,4.849847,0.998290,0.525348,-2.354828,5.646233
22,3.929144,0.998290,0.525348,-2.354828,5.726201
23,3.183243,0.998290,0.525349,-2.354828,5.846418
24,2.578922,0.998290,0.525348,-2.354828,6.092388
25,2.089073,0.998290,0.525349,-2.354828,6.521529
26,1.692587,0.998290,0.525356,-2.354828,6.818262
27,1.371341,0.998290,0.525347,-2.354828,7.510998
28,1.111003,0.998290,0.525348,-2.354828,8.860371
29,0.900088,0.998290,0.525348,-2.354828,11.301079
30,0.729213,0.998290,0.525347,-2.354828,15.463945
31,0.590811,0.998290,0.525357,-2.354828,21.956927
32,0.478677,0.998290,0.525350,-2.354828,53.328060
33,0.387759,0.998290,0.525348,-2.354828,42.449966
34,0.314145,0.998290,0.525349,-2.354828,57.664910
35,7.389054,0.995494,1.105272,-2.715627,5.857572
36,5.986297,0.995494,1.105272,-2.715627,5.872452
37,4.849847,0.995494,1.105272,-2.715627,5.934337
38,3.929142,0.995494,1.105272,-2.715627,6.092023
39,3.183315,0.995494,1.105289,-2.715627,6.189403
40,2.578922,0.995494,1.105272,-2.715627,6.583620
41,2.089277,0.995494,1.105272,-2.715627,6.930603
42,1.692665,0.995494,1.105275,-2.715627,7.360947
43,1.371311,0.995494,1.105288,-2.715627,8.347957
44,1.111002,0.995494,1.105275,-2.715627,10.178122
45,0.900088,0.995494,1.105272,-2.715627,13.411799
46,0.729214,0.985724,1.105273,-2.715627,21.619236
47,0.590810,0.981856,1.105345,-2.715627,30.252943
48,0.478664,0.981857,1.105291,-2.715627,41.073502
49,0.387727,0.985723,1.105318,-2.715627,54.589476
50,7.388993,0.996365,1.905687,-4.616559,6.511755
51,5.986201,0.996365,1.905723,-4.616559,6.545463
52,4.849847,0.996365,1.905678,-4.616559,6.591021
53,3.929181,0.996365,1.905723,-4.616559,6.723371
54,3.183315,0.996365,1.905724,-4.616559,6.965032
55,2.578923,0.996365,1.905679,-4.616559,7.517468
56,2.089278,0.996365,1.905679,-4.616559,7.732294
57,1.692586,0.996365,1.905722,-4.616559,8.493762
58,1.371311,0.996365,1.905723,-4.616559,10.080621
59,1.111003,0.997454,0.908121,-4.616559,13.192587
60,0.900089,0.997455,0.908108,-4.616559,18.505608
61,0.729213,0.984744,1.737891,-4.616559,35.408087
62,0.590784,0.979830,1.905301,-4.616559,51.381032
63,0.478664,0.979830,1.905302,-4.616559,73.348665
64,0.387753,0.979830,1.905298,-4.616559,105.054752
65,0.314145,0.977487,1.905585,-4.616559,150.762055
66,0.254506,0.977494,1.905208,-4.616559,206.678418
67,0.206192,0.977486,1.905660,-4.616559,282.910863
68,0.167049,0.977487,1.905586,-4.616559,406.814137
69,0.135335,0.973288,1.905676,-4.616559,604.658248
70,7.389043,0.991423,3.010392,-4.335950,6.683718
71,5.986200,0.991423,3.010388,-4.335950,6.733146
72,4.849845,0.991423,3.010391,-4.335950,6.856010
73,3.929143,0.991423,3.010392,-4.335950,6.973900
74,3.183243,0.991423,3.010391,-4.335950,7.351939
75,2.578916,0.991423,3.010392,-4.335950,7.819338
76,2.088918,0.981087,3.010378,-4.335950,8.887352
77,1.692580,0.972037,3.010403,-4.335950,11.036743
78,1.371310,0.972037,3.010408,-4.335950,14.673417
