,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,7.389044,0.999952,0.105166,-4.408084,1,metal,5.669651,5.705404,26.696780
0,5.986281,0.999952,0.105147,-4.408084,1,metal,5.680401,5.705396,20.949769
0,4.849845,0.999952,0.105148,-4.408084,1,metal,5.738599,5.705396,20.373860
0,3.929143,0.999952,0.105166,-4.408084,1,metal,5.807450,5.705405,1234.557433
0,3.183229,0.999952,0.105166,-4.408084,1,metal,5.950741,5.705404,20.204405
0,2.578922,0.999952,0.105166,-4.408084,1,metal,6.174538,5.705405,14.862819
0,2.089282,0.999952,0.105168,-4.408084,1,metal,6.647977,5.705405,18.871063
0,1.692681,0.999952,0.105166,-4.408084,1,metal,6.937700,5.705405,14.224733
0,1.371335,0.999952,0.105148,-4.408084,1,metal,7.623357,5.705396,13.568330
0,1.111002,0.999952,0.105148,-4.408084,1,metal,8.993239,5.705396,14.205566
0,0.900089,0.999952,0.105148,-4.408084,1,metal,11.431315,7.042310,13.847835
0,0.729214,0.999952,0.105166,-4.408084,1,metal,15.555961,10.729437,14.522624
0,0.590785,0.999952,0.105148,-4.408084,1,metal,22.265626,16.346592,13.755750
0,0.478633,0.999952,0.105167,-4.408084,1,metal,32.400724,24.904651,17.556246
0,0.387759,0.999952,0.105166,-4.408084,1,metal,45.862554,37.945740,13.118396
0,0.314146,0.999952,0.105166,-4.408084,1,metal,64.624537,57.812551,12.754957
0,0.254508,0.999751,0.105173,-4.408084,5,metal,102.711622,88.075581,86.841733
0,0.206192,0.999751,0.105174,-4.408084,5,metal,151.209174,134.188150,28.862758
0,0.167048,0.999751,0.105171,-4.408084,5,metal,223.470320,204.444200,26.420772
0,0.135336,0.999702,0.105173,-4.408084,7,metal,333.398537,311.478355,58.685091
0,7.388741,0.998059,0.525334,-2.107488,1,metal,5.453908,5.880220,16.498369
0,5.986297,0.998058,0.525347,-2.107488,1,metal,5.460319,5.880225,17.076134
0,4.849848,0.998058,0.525347,-2.107488,1,metal,5.514698,5.880225,15.779090
0,3.929143,0.998058,0.525347,-2.107488,1,metal,5.584242,5.880225,15.977350
0,3.183226,0.998058,0.525348,-2.107488,1,metal,5.701731,5.880225,17.061696
0,2.578956,0.998058,0.525345,-2.107488,1,metal,5.921822,5.880224,14.666121
0,2.089074,0.998058,0.525344,-2.107488,1,metal,6.346855,5.880224,14.150552
0,1.692665,0.998058,0.525345,-2.107488,1,metal,6.606910,5.880224,15.009535
0,1.371341,0.998058,0.525347,-2.107488,1,metal,7.227933,5.880225,14.990580
0,1.111003,0.998058,0.525347,-2.107488,1,metal,8.437648,5.880225,14.741641
0,0.900088,0.998058,0.525347,-2.107488,1,metal,10.520498,7.258120,14.031363
0,0.729213,0.998058,0.525347,-2.107488,1,metal,13.858922,11.058203,14.163557
0,0.590784,0.998058,0.525345,-2.107488,1,metal,18.944034,16.847523,14.289359
0,0.478679,0.998058,0.525346,-2.107488,1,metal,45.344953,25.662850,14.753781
0,0.387754,0.998058,0.525345,-2.107488,1,metal,33.203152,39.109472,27.675555
0,0.314147,0.998058,0.525348,-2.107488,1,metal,41.927319,59.583891,26.341083
0,0.254508,0.998058,0.525347,-2.107488,1,metal,53.754933,90.779894,27.549835
0,7.389041,0.996275,1.105274,-3.066542,1,metal,5.885777,6.090813,16.273251
0,5.986300,0.996275,1.105273,-3.066542,1,metal,5.944385,6.090813,15.313598
0,4.849848,0.996275,1.105275,-3.066542,1,metal,6.007179,6.090813,14.142552
0,3.929143,0.996275,1.105275,-3.066542,1,metal,6.164463,6.090813,15.749286
0,3.183227,0.996275,1.105276,-3.066542,1,metal,6.275093,6.090814,15.287007
0,2.578923,0.996275,1.105275,-3.066542,1,metal,6.702813,6.090813,14.570808
0,2.089278,0.996275,1.105275,-3.066542,1,metal,7.038350,6.090813,13.818063
0,1.692680,0.996275,1.105275,-3.066542,1,metal,7.500638,6.090813,13.164008
0,1.371341,0.996275,1.105273,-3.066542,1,metal,8.564874,6.090813,13.905068
0,1.111003,0.996275,1.105275,-3.066542,1,metal,10.546077,6.090813,14.177050
0,0.900088,0.996275,1.105275,-3.066542,1,metal,13.876322,7.518055,13.506142
0,0.729214,0.988277,1.101331,-3.066542,2,metal,23.087438,11.426597,40.714874
0,0.590810,0.985034,1.104934,-3.066542,3,metal,31.880165,17.395305,43.408436
0,0.478666,0.985028,1.105207,-3.066542,3,metal,42.230036,26.501358,27.310788
0,0.387727,0.988451,1.090982,-3.066542,3,metal,53.497741,40.396215,26.319260
0,0.314145,0.988314,1.099123,-3.066542,3,metal,74.368202,61.562518,25.888503
0,0.254508,0.988283,1.100970,-3.066542,3,metal,105.379052,93.802435,24.218113
0,7.388990,0.995758,1.905680,-4.342126,1,metal,6.399048,6.341959,15.522573
0,5.986281,0.995758,1.905680,-4.342126,1,metal,6.439176,6.341959,15.461174
0,4.849847,0.995758,1.905678,-4.342126,1,metal,6.486333,6.341958,15.792974
0,3.929150,0.995758,1.905680,-4.342126,1,metal,6.641116,6.341959,15.116261
0,3.183315,0.995758,1.905689,-4.342126,1,metal,6.866646,6.341961,13.997398
0,2.579124,0.995758,1.905689,-4.342126,1,metal,7.446559,6.341961,14.365865
0,2.089058,0.995758,1.905678,-4.342126,1,metal,7.654516,6.341958,14.154358
0,1.692586,0.995758,1.905687,-4.342126,1,metal,8.390109,6.341961,13.160392
0,1.371340,0.995758,1.905678,-4.342126,1,metal,9.940190,6.341958,17.984864
0,1.111002,0.979372,1.905680,-4.342126,4,metal,17.503118,6.316341,92.934123
0,0.900088,0.973621,1.905678,-4.342126,6,metal,25.297491,7.785322,96.078509
0,0.729228,0.966401,1.905884,-4.342126,9,metal,35.691119,11.839808,132.725494
0,0.590779,0.976992,1.450834,-4.342126,10,metal,44.789105,17.688080,90.157298
0,0.457740,0.977031,1.449293,-4.342126,10,metal,68.307627,29.462024,56.303752
0,0.387723,0.960220,1.906193,-4.342126,12,metal,104.008137,41.818139,88.178707
0,0.314137,0.968634,1.648463,-4.342126,12,metal,140.098901,63.052241,51.528450
0,0.254506,0.960219,1.906207,-4.342126,12,metal,212.238072,97.054178,38.190481
0,0.206192,0.958338,1.905848,-4.342126,13,metal,302.825690,147.792862,55.201428
0,0.167049,0.964063,1.742229,-4.342126,13,metal,413.214064,223.740804,45.625654
0,0.135336,0.958337,1.905850,-4.342126,13,metal,579.830709,343.058905,28.119466
0,7.388714,0.963578,3.010469,-1.809337,1,metal,5.639736,6.588023,18.748649
0,5.985797,0.990504,1.303640,-1.809337,1,metal,5.367146,6.147799,57.455136
0,3.929143,0.990500,1.303990,-1.809337,1,metal,5.519372,6.147907,36.679865
0,3.183228,0.963579,3.010395,-1.809337,1,metal,5.963798,6.588007,16.167124
0,2.115356,0.964218,2.978200,-1.809337,1,metal,6.522093,6.581007,26.765392
0,2.089182,0.963579,3.010383,-1.809337,1,metal,6.533762,6.588004,33.741866
0,1.692559,0.913707,3.010516,-1.809337,2,metal,12.476770,6.515118,44.841069
0,7.388736,0.983903,3.541540,-3.674106,1,metal,6.619790,6.742699,32.444616
0,5.986198,0.983903,3.541540,-3.674106,1,metal,6.725575,6.742699,27.661610
0,4.849833,0.983903,3.541540,-3.674106,1,metal,6.852697,6.742699,25.963200
0,3.929179,0.983903,3.541540,-3.674106,1,metal,6.963397,6.742699,35.655905
0,3.183305,0.945911,4.532155,-3.674106,1,metal,8.095373,6.903378,39.227847
0,2.579077,0.917128,4.534581,-3.674106,2,metal,8.501017,6.864900,64.591832
0,2.059167,0.917382,4.526736,-3.674106,2,metal,9.779937,6.863627,36.921304
0,1.692678,0.917112,4.535079,-3.674106,2,metal,12.126341,6.864981,31.323926
0,1.371334,0.889586,4.535023,-3.674106,3,metal,16.706882,6.827644,46.509831
0,1.111003,0.889582,4.535105,-3.674106,3,metal,23.690552,6.827656,39.177673
0,0.900089,0.862438,4.534762,-3.674106,4,metal,33.207292,8.381954,50.983354
0,0.729224,0.862437,4.534778,-3.674106,4,metal,44.000674,12.770103,31.269519
0,0.590782,0.834783,4.535053,-3.674106,5,metal,60.359717,19.348823,45.481849
0,0.478677,0.805726,4.534983,-3.674106,6,metal,85.238851,29.300321,42.634160
0,0.387733,0.773901,4.534843,-3.674106,7,metal,116.006076,44.368329,45.742649
0,0.314143,0.773879,4.534999,-3.674106,7,metal,150.739809,67.590180,27.128696
0,0.254507,0.736730,4.534973,-3.674106,8,metal,198.487576,102.193770,43.045680
0,0.206192,0.736709,4.535085,-3.674106,9,metal,283.875116,155.697350,40.524624
0,0.167048,0.736705,4.535104,-3.674106,9,metal,301.661038,237.214773,23.998100
0,0.135336,0.736723,4.535013,-3.674106,9,metal,381.173774,361.409264,26.503917
0,7.388726,0.977444,4.527864,-3.756399,1,metal,6.840056,6.945144,41.157856
0,5.986530,0.187058,6.639410,-3.756399,1,metal,6.966057,6.344784,50.175531
0,4.849981,0.187055,6.639350,-3.756399,1,metal,7.208885,6.344768,54.739336
