,rho_0,xi,gamma,zeta,eig_FEA,eig_CF
0,0.3,0.9999792395965003,0.049999999999999996,0.00028571428571428574,15.203361890405889,13.756625145859669
0,0.3249332182308123,0.9999792395965003,0.049999999999999996,0.00028571428571428574,13.447567644220518,12.050455067304439
0,0.351938654366109,0.9999792395965003,0.049999999999999996,0.00028571428571428574,11.93865097035134,10.60107651227234
0,0.3811885319433378,0.9999792395965003,0.04999999999992248,0.00028571428571428574,10.642709888301031,9.371457666061392
0,0.41286938812342516,0.9999792395965003,0.04999999999998771,0.00028571428571428574,9.53026929633439,8.330181603737833
0,0.4471832633064362,0.9999792395965003,0.049999999999998976,0.00028571428571428574,8.577806718954568,7.450643583523769
0,0.4843489896170568,0.9999792395965003,0.04999999999999996,0.00028571428571428574,7.763973283219637,6.710371292113693
0,0.524603586477042,0.9999792395965003,0.05000000000000004,0.00028571428571428574,7.072469298497882,6.090450674080983
0,0.568203772164705,0.9999792395965003,0.05000000000000004,0.00028571428571428574,6.486137707246014,5.575042675248331
0,0.6154276010016861,0.9999792395964692,0.05000000004767598,0.00028571428571428574,5.993306712890628,5.150978552870723
0,0.6665762366052024,0.9999792395964737,0.0500000000404741,0.00028571428571428574,5.585252374622977,4.807423411982112
0,0.7219758725201222,0.9999792395965083,0.04999999998753409,0.00028571428571428574,5.250681104452179,4.535599373156066
0,0.7819798124571072,0.9999792395969198,0.049999999357851294,0.00028571428571428574,4.985418937951037,4.32856129529412
0,0.8469707239721372,0.9999792395887784,0.05000001181535256,0.00028571428571428574,4.781809573911694,4.181019346520866
0,0.9173630764243998,0.9999792395973397,0.0499999987155411,0.00028571428571428574,4.638234686235535,4.089203758540643
0,0.9936057890912944,0.9999792395965003,0.050000000000001196,0.00028571428571428574,4.550996173060487,4.050768683770258
0,1.0761850890073348,0.9999792395965003,0.050000000000006255,0.00028571428571428574,4.518799464251987,4.064732080802937
0,1.165627614597265,0.9999792395966164,0.049999999822134135,0.00028571428571428574,4.540719899191161,4.131450717618216
0,1.2625037735686193,0.9999792395965881,0.04999999986549543,0.00028571428571428574,4.619385307767618,4.252629264587719
0,1.3674313805933829,0.9999792395964979,0.05000000000345146,0.00028571428571428574,4.7549506910685055,4.431363849564486
0,1.4810795973522835,0.9999792395965063,0.04999999999073112,0.00028571428571428574,4.763111649070704,4.463021320161565
0,1.604173200079221,0.9999792395965044,0.04999999999355915,0.00028571428571428574,4.549424529583241,4.27540143996533
0,1.7374972016711694,0.9999792395965043,0.049999999993633124,0.00028571428571428574,4.39475565974188,4.145919429815505
0,1.8819018580200986,0.9999792395965043,0.04999999999364961,0.00028571428571428574,4.295835374288531,4.0712670071491575
0,2.0383080904033797,0.9999792395965041,0.049999999993872044,0.00028571428571428574,4.250819128886646,4.049536792646244
0,2.2077133585356035,0.999979239596504,0.049999999994227634,0.00028571428571428574,4.257789136804881,4.080173576438191
0,2.3911980217338153,0.9999792395965037,0.04999999999462115,0.00028571428571428574,4.315817384495212,4.163960132422379
0,2.589932228763797,0.9999792395965034,0.049999999994993466,0.00028571428571428574,4.294956573041028,4.154082296746377
0,2.8051833803064645,0.9999792395965033,0.04999999999531586,0.00028571428571428574,4.203099258699648,4.075204562715477
0,3.0383242116352815,0.9999792395965031,0.04999999999557527,0.00028571428571428574,4.162966382240165,4.049349641915717
0,3.29084154705087,0.999979239596503,0.0499999999957709,0.00028571428571428574,4.173124716927937,4.075856937684616
0,3.564345781903043,0.9999792395965028,0.04999999999590906,0.00028571428571428574,4.2018420185534495,4.116353289315463
0,3.860581152670603,0.9999792395965028,0.04999999999599552,0.00028571428571428574,4.137187112572845,4.058671509614431
0,4.181436860594925,0.9999792395965028,0.049999999996039136,0.00028571428571428574,4.12142480228902,4.053590121440673
0,4.5289591198089765,0.9999792395965034,0.04999999999518687,0.00028571428571428574,4.151949097888932,4.100189020285787
0,4.90536420678438,0.9999792395965003,0.05000000000001151,0.00028571428571428574,4.106809519879639,4.053367047138582
0,5.313052594348774,0.999979239596463,0.050000000057068755,0.00028571428571428574,4.1028325241493,4.0590099358420675
0,5.75462426037126,0.9999792395965051,0.04999999999236279,0.00028571428571428574,4.1023648213033495,4.061291575868307
0,6.232895268771777,0.9999792395965003,0.050000000000004576,0.00028571428571428574,4.085939079901074,4.052095340781563
0,6.750915728592079,0.9999792395965021,0.0499999999970019,0.00028571428571428574,4.088974859567848,4.0589695096327
0,7.311989245654787,0.9999792395965018,0.04999999999747965,0.00028571428571428574,4.079857498562748,4.05339317081982
0,7.919693990865633,0.9999792395965001,0.050000000000084865,0.00028571428571428574,4.074372040139151,4.051384787562782
0,8.57790551945999,0.9999792395965345,0.049999999947540376,0.00028571428571428574,4.078771150489514,4.062939122362478
0,9.290821487101043,0.9999792395965118,0.049999999982235255,0.00028571428571428574,4.068935873937372,4.050924202224865
0,10.062988419388008,0.9999792395965038,0.04999999999441036,0.00028571428571428574,4.0680439956033085,4.049492206528001
0,10.899330708315958,0.9999792395959308,0.05000000087123163,0.00028571428571428574,4.065655327540807,4.051224493580303
0,11.805182010745561,0.9999792395965003,0.05000000000000004,0.00028571428571428574,4.067495999670856,4.0526941208437535
0,12.78631927517349,0.9999792395965007,0.04999999999935265,0.00028571428571428574,4.0683613619266765,4.052742442799892
0,13.848999571362627,0.9999792395965003,0.05000000000002403,0.00028571428571428574,4.0623211983766065,4.051525174548129
0,15.000000000000002,0.9999792395965003,0.049999999999999996,0.00028571428571428574,4.064698990652299,4.049958479193
0,0.3,0.9999667354563648,0.0675063780498276,0.00028571428571428574,15.715864566763559,13.951115449244147
0,0.3249332182308123,0.9999667354563648,0.06750637804983539,0.00028571428571428574,13.937194672970131,12.216239050947932
0,0.351938654366109,0.9999667354563648,0.06750637804984698,0.00028571428571428574,12.403886072880836,10.742390617954289
0,0.38118853194333774,0.9999667354563648,0.06750637804985932,0.00028571428571428574,11.081264119591577,9.491913126927813
0,0.41286938812342516,0.9999667354563648,0.06750637804986827,0.00028571428571428574,9.941201534852262,8.432856711786053
0,0.4471832633064362,0.9999667354563648,0.06750637804987068,0.00028571428571428574,8.960619778766775,7.538162340375022
0,0.4843489896170568,0.9999667354563648,0.06750637804986598,0.00028571428571428574,8.11823294349004,6.784970452601561
0,0.5246035864770419,0.9999667354563648,0.06750637804982743,0.00028571428571428574,7.399237269309206,6.154036895634832
0,0.568203772164705,0.9999667354563648,0.06750637804983484,0.00028571428571428574,6.7861405356381015,5.629241233244448
0,0.6154276010012162,0.999966735456365,0.0675063780498232,0.00028571428571428574,6.2675949826122945,5.1971748665114905
