
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
     0    444               1 (0.0E+00) 3.1E-02  3.0908944E+00    444 1.0E+00   r
     1    263  1.0E+00      2  1.3E-01  1.9E-02  2.8404146E+00    188 1.0E+00   r
     2    232  2.2E-01      3  1.0E-01  2.2E-02  2.4580915E+00    194 1.0E+00 s
     3   1121  2.1E-01      4  3.2E-01  1.4E-01  2.2499403E+00    199 1.0E+00
     4    933  4.9E-02      5  3.1E-01  7.7E-02  2.1446395E+00    131 1.0E+00
     5    741  5.7E-02      6  3.3E-01  3.7E-02  2.0783601E+00    114 1.0E+00
     6    402  2.3E-02      7  3.4E-01  1.2E-01  2.0488135E+00     84 1.0E+00
     7    130  1.1E-02      8  3.4E-01  3.9E-02  2.0310043E+00     80 1.0E+00
     8    176  2.7E-02      9  3.4E-01  7.0E-02  1.9861058E+00     84 1.0E+00
     9    434  1.5E-02     10  3.3E-01  6.4E-02  1.9629254E+00     74 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    10    210  1.3E-02     11  3.4E-01  1.5E-01  1.9534968E+00     70 1.0E+00
    11    126  1.2E-02     12  3.4E-01  7.2E-02  1.9391318E+00     57 1.0E+00
    12    305  1.2E-02     13  3.5E-01  9.3E-02  1.9225402E+00     62 1.0E+00
    13    732  1.2E-02     14  3.5E-01  9.2E-02  1.9075354E+00    119 1.0E+00
    14    251  1.8E-02     15  3.4E-01  3.8E-02  1.8867269E+00     73 1.0E+00
    15    187  1.8E-02     16  3.4E-01  6.2E-02  1.8641519E+00     65 1.0E+00
    16    181  1.3E-02     17  3.4E-01  4.9E-02  1.8483769E+00     67 1.0E+00
    17    143  1.7E-02     18  3.4E-01  6.3E-02  1.8307548E+00     75 1.0E+00
    18    281  3.2E-02     19  3.3E-01  2.1E-01  1.7982814E+00     60 1.0E+00
    19    188  1.7E-02     20  3.3E-01  1.0E-01  1.7792561E+00     61 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    20    254  1.6E-02     21  3.3E-01  3.6E-02  1.7638541E+00     71 1.0E+00
    21    278  3.5E-02     22  3.3E-01  2.5E-01  1.7374337E+00     63 1.0E+00
    22    144  1.9E-02     23  3.3E-01  9.5E-02  1.7173510E+00     50 1.0E+00
    23    330  1.3E-02     24  3.3E-01  5.6E-02  1.7026607E+00     56 1.0E+00
    24    147  2.1E-02     25  3.3E-01  1.1E-01  1.6818018E+00     58 1.0E+00
    25    181  2.1E-02     26  3.2E-01  7.2E-02  1.6617028E+00     57 1.0E+00
    26    140  3.0E-02     27  3.2E-01  1.5E-01  1.6357375E+00     50 1.0E+00
    27    272  2.1E-02     28  3.1E-01  6.0E-02  1.6173681E+00     68 1.0E+00
    28    223  1.9E-02     29  3.1E-01  3.8E-02  1.5995858E+00     70 1.0E+00
    29    182  2.2E-02     30  3.1E-01  3.1E-01  1.5827464E+00     54 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    30    216  2.1E-02     31  3.1E-01  8.8E-02  1.5655533E+00     63 1.0E+00
    31    201  2.1E-02     32  3.0E-01  3.3E-02  1.5490989E+00     55 1.0E+00
    32    182  2.0E-02     33  3.0E-01  3.1E-02  1.5341728E+00     65 1.0E+00
    33    179  3.9E-02     34  2.9E-01  7.9E-02  1.5050955E+00     59 1.0E+00
    34    130  2.1E-02     35  2.9E-01  4.4E-02  1.4899285E+00     55 1.0E+00
    35    180  2.1E-02     36  2.9E-01  3.3E-02  1.4750769E+00     60 1.0E+00
    36    180  2.1E-02     37  2.8E-01  3.5E-02  1.4608044E+00     76 1.0E+00
    37    145  2.1E-02     38  2.8E-01  1.0E-01  1.4474707E+00     62 1.0E+00
    38    183  3.8E-02     39  2.7E-01  2.6E-01  1.4247055E+00     57 1.0E+00
    39    209  3.7E-02     40  2.7E-01  8.5E-02  1.4017990E+00     64 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    40    182  9.4E-03     41  2.7E-01  5.3E-02  1.3961211E+00     65 1.0E+00
    41    167  3.7E-02     42  2.6E-01  1.8E-02  1.3735461E+00     77 1.0E+00
    42    664  3.7E-02     43  2.6E-01  4.3E-01  1.3547629E+00    311 1.0E+00   R
    43     86  3.0E-02     44  2.5E-01  2.3E-01  1.3477383E+00    314 1.0E+00 s
    44     74  3.2E-02     45  2.4E-01  6.5E-02  1.4931077E+00    299 2.5E+00
    45    233  2.3E-02     46  2.4E-01  1.9E-01  1.4879601E+00    278 2.5E+00
    46     70  2.8E-02     47  2.4E-01  1.7E-01  1.4791390E+00    243 2.5E+00
    47     57  2.5E-03     48  2.4E-01  1.2E-01  1.4776487E+00    212 2.5E+00
    48    312  2.2E-02     49  2.4E-01  1.8E-01  1.4683998E+00    263 2.5E+00
    49    285  2.9E-02     50  2.4E-01  1.3E-01  1.4613381E+00    199 2.5E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    50     60  3.2E-03     51  2.4E-01  8.6E-02  1.4592372E+00    185 2.5E+00
    51     56  3.4E-03     52  2.4E-01  1.5E-01  1.4568956E+00    186 2.5E+00
    52     73  3.2E-03     53  2.4E-01  2.1E-01  1.4550459E+00    207 2.5E+00
    53     79  3.1E-03     54  2.4E-01  1.4E-01  1.4536500E+00    185 2.5E+00
    54    165  3.1E-03     55  2.3E-01  1.9E-01  1.4517460E+00    252 2.5E+00
    55     49  2.7E-03     56  2.3E-01  1.2E-01  1.4506744E+00    224 2.5E+00
    56     62  3.0E-02     57  2.3E-01  1.3E-01  1.4367541E+00    191 2.5E+00
    57     96  1.5E-02     58  2.3E-01  1.4E-01  1.4306105E+00    185 2.5E+00
    58     68  1.8E-02     59  2.3E-01  3.7E-01  1.4246575E+00    183 2.5E+00
    59     53  2.5E-02     60  2.2E-01  2.9E-01  1.4174668E+00    172 2.5E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    60    237  1.6E-02     61  2.2E-01  8.1E-02  1.4112048E+00    254 2.5E+00
    61    269  2.5E-03     62  2.2E-01  1.5E-01  1.4098291E+00    254 2.5E+00
    62    118  2.9E-02     63  2.2E-01  1.6E-01  1.3999624E+00    219 2.5E+00
    63     98  3.0E-02     64  2.1E-01  3.0E-01  1.3916134E+00    206 2.5E+00
    64    121  2.8E-03     65  2.1E-01  3.7E-01  1.3902797E+00    219 2.5E+00
    65    174  3.0E-02     66  2.1E-01  3.5E-01  1.3785502E+00    227 2.5E+00
    66    152  3.1E-02     67  2.0E-01  2.6E-01  1.3674732E+00    248 2.5E+00
    67     84  3.1E-02     68  2.0E-01  1.3E-01  1.3586862E+00    215 2.5E+00
    68    129  3.0E-02     69  1.9E-01  1.0E-01  1.3496838E+00    239 2.5E+00
    69    132  3.0E-02     70  1.9E-01  9.0E-02  1.3407946E+00    228 2.5E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    70    209  3.0E-02     71  1.9E-01  9.1E-02  1.3324627E+00    226 2.5E+00
    71    104  1.5E-04     72  1.9E-01  2.1E-01  1.3324048E+00    238 2.5E+00
    72     77  1.5E-04     73  1.9E-01  2.0E-01  1.3323533E+00    222 2.5E+00
    73     62  3.5E-03     74  1.9E-01  1.6E-01  1.3311783E+00    217 2.5E+00
    74     50  1.4E-04     75  1.9E-01  1.5E-01  1.3311262E+00    211 2.5E+00
    75     47  1.4E-04     76  1.9E-01  1.4E-01  1.3310664E+00    211 2.5E+00
    76     81  1.7E-04     77  1.9E-01  1.6E-01  1.3309976E+00    243 2.5E+00
    77     81  1.8E-04     78  1.9E-01  1.6E-01  1.3309263E+00    236 2.5E+00
    78     85  3.7E-02     79  1.8E-01  1.2E-01  1.3184947E+00    209 2.5E+00
    79     78  4.6E-03     80  1.8E-01  1.4E-01  1.3166033E+00    217 2.5E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    80    143  3.8E-03     81  1.8E-01  1.4E-01  1.3151014E+00    233 2.5E+00
    81     38  3.8E-03     82  1.8E-01  1.2E-01  1.3137694E+00    218 2.5E+00
    82    127  3.9E-03     83  1.8E-01  1.8E-01  1.3123330E+00    243 2.5E+00
    83    283  3.2E-02     84  1.7E-01  3.6E-01  1.3033753E+00    399 2.5E+00   R
    84     71  5.8E-03     85  1.7E-01  2.5E-01  1.7206858E+00    362 1.2E+01 s
    85     29  1.4E-02     86  1.7E-01  1.7E-01  1.4438852E+00    352 5.7E+00
    86     49  4.9E-02     87  1.6E-01  7.7E-02  1.4258874E+00    332 5.7E+00
    87     59  5.0E-02     88  1.6E-01  1.1E-01  1.4087641E+00    320 5.7E+00
    88     43  1.6E-04     89  1.6E-01  1.4E-01  1.4086928E+00    294 5.7E+00
    89    122  1.5E-04     90  1.6E-01  2.1E-01  1.4086249E+00    332 5.7E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    90     34  1.9E-04     91  1.6E-01  1.8E-01  1.4085560E+00    315 5.7E+00
    91     37  1.4E-04     92  1.6E-01  1.6E-01  1.4085027E+00    283 5.7E+00
    92     43  1.4E-04     93  1.6E-01  1.4E-01  1.4084436E+00    276 5.7E+00
    93     53  1.5E-04     94  1.6E-01  1.4E-01  1.4083803E+00    266 5.7E+00
    94    107  1.5E-04     95  1.6E-01  1.8E-01  1.4083127E+00    328 5.7E+00
