
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
     0    444               1 (0.0E+00) 4.0E-02  4.6243081E+00    444 1.0E+00   r
     1    290  1.0E+00      2 (0.0E+00) 4.1E-02  4.3266837E+00    165 1.0E+00   r
     2    236  1.9E-01      3 (0.0E+00) 2.0E-02  3.8548055E+00    152 1.0E+00 s
     3    876  2.4E-01      4  1.5E-01  3.6E-01  3.3520367E+00    104 1.0E+00
     4    528  8.1E-02      5  2.0E-01  4.0E-02  3.2120097E+00     76 1.0E+00
     5    413  6.4E-02      6  2.1E-01  6.1E-02  3.0437771E+00     66 1.0E+00
     6    287  7.0E-02      7  2.5E-01  8.8E-02  2.9063598E+00     59 1.0E+00
     7    179  6.4E-02      8  2.9E-01  5.7E-02  2.7876853E+00     54 1.0E+00
     8    168  1.1E-02      9  2.9E-01  4.0E-02  2.7607606E+00     39 1.0E+00
     9    125  1.4E-02     10  2.9E-01  4.0E-02  2.7240155E+00     39 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    10    129  1.5E-02     11  2.9E-01  3.9E-02  2.6877989E+00     33 1.0E+00
    11    170  7.6E-02     12  3.4E-01  9.2E-02  2.5981784E+00     35 1.0E+00
    12    194  1.5E-02     13  3.4E-01  1.3E-01  2.5680730E+00     35 1.0E+00
    13    359  1.5E-02     14  3.4E-01  1.2E-01  2.5451605E+00    125 1.0E+00
    14    195  7.9E-02     15  3.7E-01  1.1E+00  2.4915261E+00     80 1.0E+00
