
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
     0    444               1 (0.0E+00) 4.0E-02  4.6243081E+00    444 1.0E+00   r
     1    290  1.0E+00      2 (0.0E+00) 4.1E-02  4.3266837E+00    165 1.0E+00   r
     2    117  5.7E-01      3  2.8E-01  1.6E-01  3.4779487E+00    117 1.0E+00 s  l
     3    434  9.0E-02      4  2.7E-01  2.1E-01  3.2632246E+00    129 1.0E+00
     4    332  7.2E-02      5  3.1E-01  1.4E-01  3.1688347E+00     91 1.0E+00
     5    379  2.6E-02      6  3.0E-01  9.7E-02  3.1037797E+00     85 1.0E+00
     6    695  6.7E-02      7  3.5E-01  1.6E-01  3.0538698E+00     83 1.0E+00
     7    191  1.8E-02      8  3.5E-01  1.2E-01  3.0100598E+00     83 1.0E+00
     8    815  1.8E-02      9  3.6E-01  1.3E-01  2.9857048E+00     81 1.0E+00
     9    207  1.4E-02     10  3.6E-01  9.5E-02  2.9495271E+00     77 1.0E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    10    187  1.5E-02     11  3.6E-01  9.7E-02  2.9146194E+00     69 1.0E+00
    11    235  4.3E-02     12  3.7E-01  2.5E-01  2.8245398E+00     63 1.0E+00
    12    301  7.8E-02     13  4.0E-01  3.7E-01  2.7117198E+00     65 1.0E+00
    13    152  1.6E-02     14  4.0E-01  1.8E-01  2.6844558E+00     57 1.0E+00
    14    110  1.7E-02     15  4.0E-01  1.3E-01  2.6480486E+00     54 1.0E+00
