load,dataf,ndata,model,interp_R2,extrap_R2,train_time_sec
axial,0.02,30,ANN_relu,0.4598,-0.2967,1.455
axial,0.05,63,ANN_relu,0.6127,-0.3760,1.362
axial,0.1,108,ANN_relu,0.8647,-0.2661,1.5751
axial,0.2,165,ANN_relu,0.9020,-0.1383,1.6182
axial,0.4,294,ANN_relu,0.8712,-0.1693,1.7552
axial,0.7,544,ANN_relu,0.9472,-0.0017,2.033
axial,1.0,1000,ANN_relu,0.9689,0.2423,2.264
axial,2.0,1800,ANN_relu,0.9778,0.5125,2.920
axial,4.0,3255,ANN_relu,0.9864,0.8042,3.805
axial,8.0,8000,ANN_relu,0.9892,0.9399,7.048
axial,16.0,16000,ANN_relu,0.9899,0.9499,1.07e1
axial,0.02,30,GP,0.9887,-0.3655,0.419
axial,0.05,63,GP,0.9604,0.1858,29.192
axial,0.1,108,GP,0.9758,0.3473,1.372e2
axial,0.2,165,GP,0.9874,0.0.7588,8.995e1
axial,0.4,294,GP,0.9926,0.7620,9.835e1
axial,0.7,544,GP,0.9942,0.9525,2.45e2
axial,1.0,1000,GP,0.9972,0.9966,4.7012e2
shear,0.015,24,ANN_relu,-0.6822,-0.4383,0.0
shear,0.02,30,ANN_relu,-0.5302,-0.5197,0.0
shear,0.05,63,ANN_relu,-0.0025,-0.5275,0.0
shear,0.1,108,ANN_relu,0.4938,0.1295,0.0
shear,0.2,165,ANN_relu,0.7589,0.6550,0.0
shear,0.4,294,ANN_relu,0.9208,0.7562,0.0
shear,0.7,544,ANN_relu,0.9626,0.8621,0.0
shear,1.0,1000,ANN_relu,0.9863,0.9385,0.0
shear,2.0,1800,ANN_relu,0.9941,0.9745,0.0
shear,4.0,3255,ANN_relu,0.9971,0.9845,0.0
shear,8.0,8000,ANN_relu,0.9975,0.9824,0.0
shear,16.0,16000,ANN_relu,0.9986,0.9916,0.0
shear,0.015,24,GP,0.9016,0.3038,0.0
shear,0.02,30,GP,0.9859,0.9886,0.0
shear,0.05,63,GP,0.9998,0.9992,0.0
shear,0.1,108,GP,0.9997,0.9979,0.0
shear,0.2,165,GP,0.9988,0.9806,0.0
shear,0.4,294,GP,0.9995,0.9963,0.0
shear,0.7,544,GP,0.9998,0.9919,0.0
shear,1.0,1000,GP,0.9992,0.9964,0.0
